file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,Node/1[int],true,8,1,4,1,3,1,3,5,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,setData/1[int],false,18,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,getLeft/0,false,22,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,getRight/0,false,30,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,setRight/1[binarySearchTree.Node],false,34,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,getData/0,false,14,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,setLeft/1[binarySearchTree.Node],false,26,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\linked_list_push.java,Node,Node/1[int],true,9,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Computer Science\Data Structure\code\MinHeap.java,practice.MinHeap,main/1[java.lang.String[]],false,76,1,3,0,3,3,5,14,0,5,1,5,0,0,1,1,0,0,0,2,5,0,2,0,0,0,14,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Algorithm\code\mergeSort.java,mergeSort,main/1[java.lang.String[]],false,8,2,1,0,1,4,4,24,2,8,1,4,1,1,2,1,0,1,2,8,10,2,2,0,0,0,18,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Algorithm\code\mergeSort.java,mergeSort,"mergeSort/3[int[],int,int]",false,40,2,3,2,1,9,1,30,1,6,3,1,1,0,4,0,0,1,0,6,11,7,2,0,0,0,11,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-interview-for-developer\Algorithm\code\Heap.java,Heap,init/1[int],false,6,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,6,8,0,false
